"SUBURB_NUM","suburb","postcode","lonmin","latmin","lonmax","latmax"
87201,"DE ROSE HILL","0872",133.04501689,-26.71826233,133.59027776,-26.35032928
87202,"AYERS RANGE SOUTH","0872",133.10876555,-26.40870015,133.45828848,-25.99829014
87203,"TIEYON","0872",133.4092202,-26.71870638,134.31348376,-25.99829014
87204,"LAMBINA","0872",133.63541141,-27.27762872,134.41147892,-26.71819314
87205,"ANANGU PITJANTJATJARA YANKUNYTJATARA","0872",129.0013364,-28.11735596,133.74493699,-25.9985919
87206,"AMATA","0872",131.1236782,-26.17001342,131.21647171,-26.08808934
87207,"PUKATJA","0872",132.09770618,-26.33345364,132.1890019,-26.25625616
87208,"KALTJITI","0872",132.01477871,-26.78363204,132.05004455,-26.75415988
87209,"IWANTJA","0872",133.27532846,-26.9950557,133.33061437,-26.95991616
87210,"KALKA","0872",129.13892686,-26.12184816,129.16940022,-26.10668869
87211,"KANPI","0872",130.09528062,-26.18399567,130.13614904,-26.14380275
87212,"MIMILI","0872",132.67626322,-27.04909872,132.7244606,-26.99972081
87213,"MURPUTJA","0872",130.17772642,-26.1701262,130.18594037,-26.15790822
87214,"NYAPARI","0872",130.18127644,-26.19393544,130.23156738,-26.17173238
87215,"PIPALYATJARA","0872",129.11990628,-26.19446697,129.17799366,-26.15468546
87217,"WATARRU","0872",129.89055793,-27.04234524,129.91718561,-27.0040875
87218,"YUNYARINYI","0872",132.42864637,-26.3432647,132.48467577,-26.29882185
87219,"WATINUMA","0872",131.87860786,-26.52344528,131.88343282,-26.51906202
500001,"ADELAIDE","5000",138.5770603,-34.9421596,138.62447691,-34.9091179
500601,"NORTH ADELAIDE","5006",138.57701692,-34.91949042,138.6129047,-34.8985466
500701,"BOWDEN","5007",138.5749372,-34.90787692,138.5842682,-34.8965687
500702,"BROMPTON","5007",138.56809011,-34.9055511,138.5835929,-34.89120561
500703,"HINDMARSH","5007",138.56447894,-34.91192827,138.57798492,-34.89938686
500704,"WELLAND","5007",138.556137,-34.91223822,138.56138016,-34.8947178
500705,"WEST HINDMARSH","5007",138.56005081,-34.91234033,138.5663739,-34.8972981
500801,"CROYDON","5008",138.5599086,-34.9015092,138.57012737,-34.8878751
500802,"CROYDON PARK","5008",138.55724967,-34.8864776,138.57593444,-34.87490015
500803,"DEVON PARK","5008",138.57584763,-34.89025553,138.58365649,-34.88504004
500804,"DUDLEY PARK","5008",138.57518563,-34.88537919,138.58332761,-34.87460725
500805,"RENOWN PARK","5008",138.56694396,-34.8969791,138.5842682,-34.88597232
500806,"RIDLEYTON","5008",138.56690392,-34.9002945,138.57474531,-34.8884206
500807,"WEST CROYDON","5008",138.548942,-34.8972035,138.56922892,-34.88093491
500901,"ALLENBY GARDENS","5009",138.5510423,-34.91248083,138.55744574,-34.8913273
500902,"BEVERLEY","5009",138.5405932,-34.90471101,138.55209485,-34.8843802
500903,"KILKENNY","5009",138.54820131,-34.88994099,138.5578191,-34.87195604
501001,"ANGLE PARK","5010",138.55560319,-34.86295708,138.5653725,-34.84975319
501002,"FERRYDEN PARK","5010",138.55643835,-34.87574137,138.56628789,-34.86163109
501003,"REGENCY PARK","5010",138.56462559,-34.87532261,138.58159617,-34.84941445
501101,"WOODVILLE","5011",138.5281437,-34.8840369,138.54857589,-34.8700212
501102,"WOODVILLE PARK","5011",138.5400829,-34.8894456,138.55077431,-34.87533586
501103,"WOODVILLE SOUTH","5011",138.5306386,-34.89919874,138.54159942,-34.8777555
501104,"WOODVILLE WEST","5011",138.5185879,-34.8914518,138.5315383,-34.87681451
501105,"ST CLAIR","5011",138.5287629,-34.87752392,138.54348281,-34.86367561
501201,"ATHOL PARK","5012",138.53788268,-34.86190814,138.54745143,-34.850582
501202,"MANSFIELD PARK","5012",138.54671562,-34.86311355,138.55682752,-34.8501678
501203,"WOODVILLE GARDENS","5012",138.5475117,-34.87238768,138.55710935,-34.86225326
501204,"WOODVILLE NORTH","5012",138.53297879,-34.87522565,138.54839528,-34.85978465
501301,"GILLMAN","5013",138.51497951,-34.8480262,138.53890781,-34.81131225
501302,"OTTOWAY","5013",138.52554199,-34.85150431,138.54671562,-34.841262
501303,"PENNINGTON","5013",138.52351675,-34.86613469,138.53849927,-34.8510149
501304,"ROSEWATER","5013",138.5135836,-34.8604522,138.52909569,-34.8461714
501305,"WINGFIELD","5013",138.53746179,-34.850582,138.5825214,-34.83188119
501401,"ALBERTON","5014",138.509382,-34.8665119,138.52335785,-34.8521047
501402,"ALBERT PARK","5014",138.5163762,-34.8841814,138.5292232,-34.8682205
501403,"CHELTENHAM","5014",138.51691431,-34.8760967,138.52940259,-34.86000166
501404,"HENDON","5014",138.511847,-34.8831818,138.5193546,-34.8651612
501405,"QUEENSTOWN","5014",138.50286313,-34.8700243,138.5190552,-34.8535866
501406,"ROYAL PARK","5014",138.50217481,-34.88008311,138.51280965,-34.85941226
501501,"BIRKENHEAD","5015",138.4918465,-34.84214627,138.50757581,-34.8326045
501502,"ETHELTON","5015",138.48445488,-34.85197624,138.4953026,-34.8452538
501503,"GLANVILLE","5015",138.4868362,-34.84681951,138.49466565,-34.8404749
501504,"PORT ADELAIDE","5015",138.49696965,-34.85920904,138.52525731,-34.8069209
501505,"NEW PORT","5015",138.49348291,-34.85229097,138.50179099,-34.83915032
501601,"LARGS BAY","5016",138.48089078,-34.8351722,138.50990812,-34.81958172
501602,"LARGS NORTH","5016",138.48723607,-34.82358653,138.5139764,-34.8107699
501603,"PETERHEAD","5016",138.49140882,-34.8341974,138.50769952,-34.82812586
501701,"OSBORNE","5017",138.48534627,-34.8028577,138.51882394,-34.76229755
501702,"TAPEROO","5017",138.48705051,-34.8124096,138.51401174,-34.8007053
501801,"NORTH HAVEN","5018",138.47691632,-34.79688061,138.5015223,-34.7761872
501802,"OUTER HARBOR","5018",138.48065753,-34.7879176,138.51147325,-34.7618584
501901,"EXETER","5019",138.4881131,-34.8426386,138.4935265,-34.8341974
501902,"SEMAPHORE","5019",138.47620497,-34.8452538,138.4891957,-34.83176692
501903,"SEMAPHORE PARK","5019",138.47519671,-34.8648795,138.5002135,-34.84996943
